POINT_ID,위도,경도,위험도_actual,사고발생확률_p,조건부위험도_r,최종위험도점수,최종위험도점수_percent,개선우선순위1,추천근거_feature1,추천점수1,모델1_shap1,모델2_shap1,개선우선순위2,추천근거_feature2,추천점수2,모델1_shap2,모델2_shap2,개선우선순위3,추천근거_feature3,추천점수3,모델1_shap3,모델2_shap3,추천개수
417140,37.49295306971526,127.14631526466631,0.0,0.6702801,15.054919,10.091013,45.847992,횡단보도 추가,횡단보도개수,0.8305316026952007,0.14223197102546692,0.3304024636745453,노인/장애인 보호구역 지정,노인장애인보호구역여부,0.44350791629413,0.04053124785423279,0.2687769830226898,신호등 설치,신호등설치여부,0.33987149583582976,0.05786045640707016,0.13610446453094482,3
161613,37.633624021164735,127.023108611853,0.0,0.7398935,13.454044,9.95456,45.228027,횡단보도 추가,횡단보도개수,1.3516445596350413,0.14913798868656158,0.38155892491340637,신호등 설치,신호등설치여부,0.29220640285837046,0.02812970243394375,0.08968577533960342,,,0.0,0.0,0.0,2
45650,37.53758398580164,126.96028369447087,0.0,0.6862174,14.2639475,9.788169,44.472034,횡단보도 추가,횡단보도개수,1.278173363858628,0.2949245572090149,0.37415724992752075,노인/장애인 보호구역 지정,노인장애인보호구역여부,0.43995357776823985,0.07846321165561676,0.17426170408725739,신호등 설치,신호등설치여부,0.08378218594019604,0.005735399201512337,0.05134806036949158,3
38817,37.53719030957558,126.96112939708333,0.0,0.57844293,16.88903,9.7693405,44.38649,노인/장애인 보호구역 지정,노인장애인보호구역여부,0.7391193277595258,0.05077484995126724,0.12379548698663712,횡단보도 추가,횡단보도개수,0.6408871901736062,0.037637047469615936,0.12859421968460083,과속방지턱 추가,과속방지턱개수,0.2119115154080446,0.011797083541750908,0.04467445984482765,3
149170,37.62587976816392,127.02474021107176,0.0,0.5663812,16.925158,9.586091,43.553905,횡단보도 추가,횡단보도개수,1.4561839805443775,0.1547228842973709,0.3235591948032379,횡단보도 예고표시 설치,횡단보도예고표시여부,0.27047457788895274,0.0470740906894207,0.02833607606589794,,,0.0,0.0,0.0,2
213034,37.61115489363374,126.92982855282033,0.0,0.855178,11.0713825,9.468002,43.017376,횡단보도 추가,횡단보도개수,1.3760370897513112,0.19214536249637604,0.7363770008087158,CCTV 추가,CCTV개수,0.2767619944096492,0.0862049013376236,0.0151923643425107,신호등 설치,신호등설치여부,0.1444751853967268,0.03859122470021248,0.025843465700745583,3
213041,37.611163542724825,126.92983136061984,0.0,0.85429394,11.081869,9.467174,43.01361,횡단보도 추가,횡단보도개수,1.3664290130352068,0.187072291970253,0.6970455050468445,CCTV 추가,CCTV개수,0.29514727575682276,0.09942569583654404,0.010880737565457821,신호등 설치,신호등설치여부,0.15271656019092272,0.045534081757068634,0.01962031051516533,3
213038,37.6111673020245,126.92984400767764,0.0,0.85347795,11.0311575,9.414849,42.77588,횡단보도 추가,횡단보도개수,1.380431371546842,0.17330402135849,0.7684310078620911,CCTV 추가,CCTV개수,0.3047438167254161,0.09967551380395889,0.008600780740380287,신호등 설치,신호등설치여부,0.1590991773714993,0.048661865293979645,0.013342916034162045,3
273223,37.53373844946689,126.8452715854534,0.0,0.53544694,17.533625,9.388326,42.65537,횡단보도 추가,횡단보도개수,1.1751612777856832,0.17375242710113525,0.7043456435203552,신호등 설치,신호등설치여부,0.32169126700629447,0.06400677561759949,0.14096206426620483,횡단보도 예고표시 설치,횡단보도예고표시여부,0.28953609095902555,0.04692796617746353,0.16054955124855042,3
33248,37.53678543338447,126.96106914788892,0.0,0.74323285,12.554412,9.330852,42.394238,횡단보도 추가,횡단보도개수,1.3120977840296406,0.10360567271709442,0.4281684458255768,노인/장애인 보호구역 지정,노인장애인보호구역여부,0.3178816956114618,0.04381130635738373,0.04909234866499901,제한속도 하향,제한속도,0.052235196332368214,0.003935275133699179,0.017598414793610573,3
